INGERSOLL RAND DRILL PARTS WITH OLD & NEW PARTS NUMBERS ,,,,,,
Old Part Number,New Part Number,Qty,,Old Part Number,New Part Number,Qty 
HP‐PR‐1300‐19 ,50536762,6,,HU‐393 ,,2
HP‐PR‐1333‐27 ,50533454,6,,HU‐412 ,,6
HRA20A‐AS377 ,3349255,1,,HU‐459 ,3184512,1
HRA20A‐A10 ,3249810,2,,HU‐466 ,3184553,1
HRA20A‐A798 ,3253333,2,,HU‐469 ,3184603,2
HRA20A‐319 ,3250875,2,,HU‐505 ,3184793,4
HRA20A‐375 ,3251071,2,,HU‐507 ,3184827,16
HRA20A‐379 ,3251220,5,,HU‐509 ,,1
HRA20A‐461 ,3251717,1,,HU‐510 ,3184850,12
HRA20A‐463 ,3251741,3,,HU‐511 ,3184868,21
HRA20A‐603 ,3252483,2,,HU‐513 ,3184900,17
HRA20A‐61 ,3249984,5,,HU‐513A ,3504743,1
HRA20A‐615 ,3252533,2,,HU‐514 ,3184926,22
HRA20A‐675 ,3252913,2,,HU‐516 ,3184942,12
HRA20A‐74 ,3250008,2,,HU‐518 ,3185014,1
HRA20A‐987 ,3253531,5,,HU‐519 ,3185030,15
HRA20A‐988 ,3253549,13,,HU‐520 ,3185048,18
HRA30A‐S377 ,3610581,2,,HU‐525 ,,2
HRA30A‐9 ,3249802,1,,HU‐525S ,3185063,2
HRA40A‐464 ,3251857,1,,HU‐526A ,3185097,2
HRA40A‐465 ,3251873,2,,HU‐527 ,3185162,17
HRA40A‐962 ,3253499,1,,HU‐538 ,3185170,1
HU ,,1,,HU‐540 ,3185188,2
HU‐A513B ,3610151,5,,HU‐548 ,3185352,7
,"LC VOUGHT INGERSOLL RAND DRILL PARTS, PAGE",,,,22,
INGERSOLL RAND DRILL PARTS WITH OLD & NEW PARTS NUMBERS ,,,,,,
Old Part Number,New Part Number,Qty,,Old Part Number,New Part Number,Qty 
HU‐550 ,,1,,H5U‐A516 ,3184975,2
HU‐551 ,,1,,H5U‐546 ,3185329,1
HU‐553 ,,2,,H5U‐744 ,3185931,8
HU‐567 ,,1,,H5U‐945S ,3384369,5
HU‐568 ,,2,,H50JA45 ,,10
HU‐589 ,,1,,H50JR38 ,50309582,5
HU‐718 ,3185733,1,,H50S49 ,,1
HU‐730 ,3185881,99,,H53JR38C ,50171412,8
HU‐859 ,3186012,1,,H53RB12 ,,8
HU‐860 ,3186020,1,,H53R38 ,50045475,17
HU‐867 ,3186095,3,,H54U‐352 ,3075843,1
HU‐868 ,3186103,1,,H54U‐352‐10 ,,2
HU‐869 ,,1,,H54U‐486 ,3075884,27
HU‐870 ,3186129,6,,H54U‐511B ,3075934,35
HU‐940 ,3186434,1,,H54U‐667 ,3076080,6
HU‐942 ,3186442,3,,H58J50 ,50003870,6
HU‐944 ,3186475,1,,H59DA35 ,,22
HU‐945S ,3186558,3,,H64DB30 ,50051150,8
HUD‐895 ,3186152,1,,H64S49 ,,1
HUL‐158 ,,1,,H68DA35 ,50168228,44
HUL‐187 ,,9,,H80‐109 ,3034147,25
HUL‐467 ,3184587,1,,H80‐11 ,3034006,65
HUL40‐324 ,3186707,1,,H80‐11‐10 ,3801925,2
HU40‐K155 ,3834157,1,,H80‐134A ,3034162,4
HU40‐356 ,3186756,1,,H80‐67 ,,1
HU40‐357 ,3186764,1,,H80‐82A ,3034063,1
HU40‐358 ,3186780,1,,H82JR38B ,50022714,2
HV1942X ,50409317,1,,H82JR38C ,50171552,8
HX‐545 ,3188109,1,,H82L74 ,50160209,11
H02‐134 ,3033602,76,,H868JR38 ,,1
H02‐51 ,3033461,12,,H94J30 ,50011832,2
H02‐65S ,3033487,5,,ILA578A1‐728 ,,1
H1DA30 ,50060920,1,,ILA582A3‐AL501 ,,1
H15DA35 ,50227164,21,,ILA902A9‐554 ,,4
H2S‐5 ,,5,,ILA902A9‐726 ,3068475,8
H234JR38 ,50018589,2,,IRA582A3‐A517 ,,1
H265D45 ,50008424,4,,IRLP‐10 ,50309699,15
H3R‐31 ,3033644,15,,IRL200‐600 ,50435221,1
H3R‐8 ,3033628,1,,IRO‐16F ,50108844,2
H5DP3‐936 ,50045244,3,,IRO‐384 ,,1
H5M‐545 ,3187242,3,,IRO‐4F‐9171 ,,1
,"LC VOUGHT INGERSOLL RAND DRILL PARTS, PAGE",,,,23,
INGERSOLL RAND DRILL PARTS WITH OLD & NEW PARTS NUMBERS ,,,,,,
Old Part Number,New Part Number,Qty,,Old Part Number,New Part Number,Qty 
IRO‐8F ,50109594,3,,JR300A‐174 ,50311869,30
I0A902A1‐36 ,3067972,42,,JR300A‐18 ,50311901,24
I0A902A1‐739 ,3068566,12,,JR300A‐19B ,50311943,26
I0A902A2‐932‐4 ,3068582,5,,JR300A‐193A ,50289099,3
I0A902A5‐930 ,3371770,4,,JR300A‐193C ,50311950,5
JA3‐A1040 ,3024106,1,,JR300A‐194 ,50311968,99
JA3‐102 ,3024247,2,,JR300A‐195A ,50311976,12
JA3‐14 ,3024072,10,,JR300A‐197A ,50311984,32
JA3‐40 ,3024114,2,,JR300A‐20 ,50312008,25
JA3‐439 ,3024502,3,,JR300A‐20A ,50312016,9
JA3‐53 ,3024171,3,,JR300A‐200 ,50312024,1
JA3‐98 ,,3,,JR300A‐21 ,50312164,6
JA4‐11 ,3024049,1,,JR300A‐213 ,95097655,99
JA4‐12 ,3024056,1,,JR300A‐214 ,50312214,1
JA4‐282 ,,1,,JR300A‐214A ,50312222,2
JA4‐42 ,3024155,17,,JR300A‐219 ,50312230,99
JA4‐53 ,3024197,1,,JR300A‐22 ,50312248,5
JC3350‐210 ,3147162,10,,JR300A‐22A ,50312255,6
JC3350‐74 ,3147097,11,,JR300A‐220 ,95018149,99
JC55‐40 ,3162559,1,,JR300A‐220A ,50556844,99
JRC2 ,,2,,JR300A‐222 ,50312271,99
JR300 ADAPTOR ,,7,,JR300A‐226 ,50312339,20
JR300A‐1 ,50311570,1,,JR300A‐227 ,50312347,19
JR300A‐108 ,50311612,17,,JR300A‐227A ,50204536,19
JR300A‐112 ,50311620,28,,JR300A‐229 ,50054584,1
JR300A‐12 ,50289065,2,,JR300A‐23 ,50312354,68
JR300A‐127B ,50311653,1,,JR300A‐23A ,50246636,4
JR300A‐13 ,50311661,6,,JR300A‐234A ,50312396,5
JR300A‐13A ,50311679,31,,JR300A‐234B ,50312404,2
JR300A‐140 ,50311695,23,,JR300A‐234E ,50312412,2
JR300A‐142 ,50311703,44,,JR300A‐237 ,50312446,13
JR300A‐142A ,50392588,20,,JR300A‐237B ,50312461,26
JR300A‐142B ,50392596,33,,JR300A‐237D ,50312487,1
JR300A‐143A ,,8,,JR300A‐237E ,50312495,5
JR300A‐15 ,50200971,37,,JR300A‐237F ,50312503,13
JR300A‐15A ,50311737,3,,JR300A‐239A ,50312511,4
JR300A‐157 ,50311760,8,,JR300A‐239N ,,2
JR300A‐16A ,50311828,4,,JR300A‐239P ,50312552,9
JR300A‐169 ,50311836,14,,JR300A‐239U ,50212133,2
JR300A‐17 ,50311844,99,,JR300A‐24 ,50312560,39
JR300A‐171 ,95018669,99,,JR300A‐241 ,,1
,"LC VOUGHT INGERSOLL RAND DRILL PARTS, PAGE",,,,24,
INGERSOLL RAND DRILL PARTS WITH OLD & NEW PARTS NUMBERS ,,,,,,
Old Part Number,New Part Number,Qty,,Old Part Number,New Part Number,Qty 
JR300A‐241G ,50312594,9,,JR300A‐405 ,50313154,1
JR300A‐244A ,50312602,34,,JR300A‐405A ,50313162,1
JR300A‐245 ,50312610,8,,JR300A‐41A ,95222790,40
JR300A‐247 ,50312628,99,,JR300A‐416 ,50313188,12
JR300A‐249 ,,4,,JR300A‐42 ,50313196,20
JR300A‐259 ,50312677,5,,JR300A‐421 ,50313204,8
JR300A‐26 ,50312693,4,,JR300A‐422 ,50313220,1
JR300A‐27 ,50312735,9,,JR300A‐43 ,95076790,8
JR300A‐27B ,50312750,33,,JR300A‐44 ,50313246,49
JR300A‐27C ,50312768,1,,JR300A‐451 ,50313279,99
JR300A‐274 ,50312784,8,,JR300A‐49 ,50313295,30
JR300A‐275 ,,2,,JR300A‐5 ,50313311,14
JR300A‐288 ,50312818,56,,JR300A‐50D ,,1
JR300A‐288C ,50291293,99,,JR300A‐50F ,50291285,8
JR300A‐295 ,50312826,2,,JR300A‐53 ,50313352,99
JR300A‐296 ,50312842,22,,JR300A‐53B ,50313378,1
JR300A‐296A ,50291301,99,,JR300A‐53C ,50313386,1
JR300A‐311 ,50312859,4,,JR300A‐53F ,50313410,3
JR300A‐311A ,50312867,7,,JR300A‐534 ,50203975,1
JR300A‐318 ,50312883,1,,JR300A‐557 ,50313493,1
JR300A‐318B ,50291335,37,,JR300A‐557A ,50313501,3
JR300A‐325 ,50312891,99,,JR300A‐557B ,50313519,2
JR300A‐325A ,50312909,99,,JR300A‐557G ,50203611,2
JR300A‐325B ,50176981,2,,JR300A‐56 ,50313543,1
JR300A‐329 ,50312925,1,,JR300A‐572 ,50313550,1
JR300A‐329A ,50352806,22,,JR300A‐58 ,50289123,1
JR300A‐329G ,50862192,4,,JR300A‐58C ,50313592,1
JR300A‐329H ,50203991,1,,JR300A‐582 ,50291327,63
JR300A‐330 ,,1,,JR300A‐59 ,50540301,6
JR300A‐330B ,,8,,JR300A‐59A ,50313626,22
JR300A‐344 ,50312974,99,,JR300A‐6 ,50289115,1
JR300A‐344A ,50291319,33,,JR300A‐6A ,50313634,1
JR300A‐346 ,50212539,46,,JR300A‐60 ,50313642,8
JR300A‐346B ,,2,,JR300A‐61 ,50313659,8
JR300A‐37 ,50313063,11,,JR300A‐62 ,50313667,25
JR300A‐375 ,50313089,28,,JR300A‐631 ,50313683,1
JR300A‐376 ,50313097,52,,JR300A‐633 ,50313709,6
JR300A‐376A ,50313097,1,,JR300A‐64 ,50289263,2
JR300A‐38 ,95086161,99,,JR300A‐647A ,50313766,12
JR300A‐4A ,50313139,99,,JR300A‐647D ,,4
JF300A‐40 ,95086500,99,,JR300A‐647E ,50203686,6
,"LC VOUGHT INGERSOLL RAND DRILL PARTS, PAGE",,,,25,
INGERSOLL RAND DRILL PARTS WITH OLD & NEW PARTS NUMBERS ,,,,,,
Old Part Number,New Part Number,Qty,,Old Part Number,New Part Number,Qty 
JR300A‐65 ,50288026,1,,JR300A‐920B ,50203694,2
JR300A‐65B ,50243526,1,,JR300A‐933 ,50314186,99
JR300A‐66 ,50313774,3,,JR300A‐94 ,50314194,9
JR300A‐66B ,50204593,1,,JR300A‐941 ,50314202,8
JR300A‐66C ,50400852,23,,JR300A‐953 ,50314210,64
JR300A‐661A ,50313790,54,,JR300A‐962A ,50314293,3
JR300A‐663 ,,7,,JR300A‐978A ,95018008,99
JR300A‐671 ,50313808,99,,JR300A‐992 ,50314350,1
JR300A‐68 ,50313824,54,,JR300C‐958 ,,3
JR300A‐68A ,50313832,1,,JR300M‐1 ,50406099,1
JR300A‐69 ,,2,,JR300M‐1025A ,50311596,1
JR300A‐7 ,50313857,25,,JR300M‐1042 ,50406081,2
JR300A‐712 ,,1,,J15DA35 ,560169689,9
JR300A‐753 ,50313899,17,,J300A‐30 ,50288018,4
JR300A‐753A ,50203959,99,,J300A‐68 ,50557701,2
JR300A‐754 ,50313907,99,,J371J10A ,50009828,1
JR300A‐754A ,50406065,14,,J3‐16 ,,3
JR300A‐81A ,50313931,2,,J3‐252 ,,1
JR300A‐82J ,50313949,1,,J3‐262 ,,1
JR300A‐82P ,50291269,1,,J3‐409 ,,5
JR300A‐82S ,50291236,2,,J5‐690‐113 ,,2
JR300A‐836 ,50313998,26,,J53L74 ,50162239,6
JR300A‐852 ,50506336,1,,J53R48 ,,1
JR300A‐86 ,50314004,1,,J58DA30 ,50058973,20
JR300A‐862 ,50314012,99,,J58DA35 ,,15
JR300S‐87 ,50314020,4,,J58J50 ,50003888,7
JR300A‐87A ,50314038,3,,J64S49 ,50034214,5
JR300A‐870 ,50314046,19,,J66DA35 ,50168202,14
JR300A‐871B ,50314053,2,,KM‐298A ,3191731,1
JR300A‐872A ,,6,,KM‐526R ,3191889,1
JR300A‐872B ,50314061,6,,KU‐A516 ,,1
JR300A‐874 ,50314079,25,,KU‐K516 ,3834082,1
JR300A‐877 ,95086492,99,,KU‐337 ,3188539,99
JR300A‐877A ,50314087,99,,KU‐337‐5 ,3722154,6
JR300A‐880 ,50314103,99,,KU‐338 ,3188562,22
JR300A‐910 ,50212208,1,,KU‐338‐5 ,3722162,1
JR300A‐912 ,50314137,99,,KU‐501 ,,1
JR300A‐915C ,50314145,4,,KU‐505 ,,2
JR300A‐917 ,50314152,25,,KU‐509 ,,4
JR300A‐917A ,50314160,18,,KU‐510 ,3189081,3
JR300A‐920A ,50203702,47,,KU‐513 ,3189115,1
,"LC VOUGHT INGERSOLL RAND DRILL PARTS, PAGE",,,,26,
INGERSOLL RAND DRILL PARTS WITH OLD & NEW PARTS NUMBERS ,,,,,,
Old Part Number,New Part Number,Qty,,Old Part Number,New Part Number,Qty 
KU‐514 ,3189149,4,,LA412‐589 ,,3
KU‐518 ,3189214,4,,LA412‐931 ,,2
KU‐519 ,3189222,1,,LI‐104 ,50060771,4
KU‐527 ,3189313,3,,LI‐109 ,50059138,4
KU‐540 ,,1,,LI‐117 ,50059179,66
KU‐548 ,3189446,2,,LI‐121 ,50059203,5
KU‐592 ,3189545,3,,LI‐123 ,50059211,6
KU‐895 ,3189842,9,,LI‐132 ,50059237,2
KU‐943 ,3189966,1,,LI‐133 ,50059245,2
KX‐546 ,3192846,1,,LI‐134 ,50059252,6
K4U‐145 ,3188174,1,,LI‐136 ,50059260,25
K4U‐161A ,,1,,LI‐137 ,50059278,1
K4U‐319 ,3188489,1,,LI‐141 ,50059294,1
K4U‐362 ,3188661,1,,LI‐142 ,50059302,9
K4U‐466 ,3188778,1,,LI‐143 ,50059310,76
K5U‐145 ,3188190,1,,LI‐150 ,50059344,6
K5W‐513A ,,1,,LI‐160 ,50057215,2
K53R38 ,50045483,1,,LI‐163 ,50057249,30
K53R51 ,,1,,LM‐CB1067‐1 ,50295930,4
K57RP38E ,50007426,7,,LX1‐405 ,3122207,99
K6U‐156 ,3432960,99,,LX1‐414 ,3122272,40
K6U‐255X ,3363702,5,,LX2‐413 ,3122587,1
K6U‐259 ,3190212,7,,L27DA30 ,50061035,16
K6U‐366 ,3190543,4,,L50DA30 ,,7
K6U‐397 ,3190568,1,,L50N70 ,,1
K6U‐466 ,3190592,2,,MC121‐32 ,3012713,29
K6U‐501 ,3190618,3,,MC121‐5 ,3012689,2
K6U‐519 ,3190899,7,,MF‐25 ,3102225,9
K6U‐526 ,3190931,3,,ML‐740B ,3457439,2
K6U‐527 ,3190964,1,,MLK‐117A ,3699816,3
K6U‐788 ,3191400,5,,MLK‐211 ,3699857,2
K6U‐928 ,3191442,1,,MLK‐250 ,3619855,2
K6U‐941 ,3191467,12,,MLK‐928 ,3619822,1
K614DA35 ,50165810,1,,MLK‐942 ,3619939,2
K‐32 ,3036415,95,,ML10‐K461 ,3831153,3
LA412‐2 ,,2,,ML10‐603 ,3194792,1
LA412‐20 ,,1,,ML50K‐445 ,3550167,5
LA412‐3 ,,1,,ML50K‐832 ,3550779,3
LA412‐4 ,,2,,ML50K‐842 ,3550431,1
LA412‐40 ,,2,,ML50K‐855A ,3699907,2
LA412‐588 ,,3,,MP1‐15A ,3041530,3
,"LC VOUGHT INGERSOLL RAND DRILL PARTS, PAGE",,,,27,
INGERSOLL RAND DRILL PARTS WITH OLD & NEW PARTS NUMBERS ,,,,,,
Old Part Number,New Part Number,Qty,,Old Part Number,New Part Number,Qty 
MR‐A581A ,3508264,2,,MT61‐8A ,3042496,1
MR‐100 ,3193273,3,,MVA008‐103 ,3429842,2
MR‐11 ,3193075,2,,MVA034‐42 ,3676657,6
MR‐12 ,3193091,3,,MVA034‐42‐6 ,3676657,82
MR‐151 ,3193315,1,,MVA034‐52 ,3429743,5
MR‐152 ,3193349,1,,MVA034‐53 ,3429719,1
MR‐158 ,3193414,7,,MYR‐15427C2A ,58058710,2
MR‐167 ,3445384,6,,MYR‐15427C3A ,58058728,2
MR‐175 ,3193430,6,,MYR‐6737A20 ,58058785,2
MR‐259 ,3193752,12,,MYR‐6737A21 ,58058777,2
MR‐29A ,3451036,8,,M0V010AA‐24 ,3016938,17
MR‐316 ,3193943,1,,M0V050AA‐A378 ,3330586,3
MR‐393 ,3194180,4,,M0V050AA‐104 ,3330529,2
MR‐4A ,3453354,1,,M0V050AA‐31 ,3330388,16
MR‐412 ,3194222,6,,M0V050AA‐98 ,3330479,1
MR‐42 ,3193141,42,,M0V075AA‐42 ,3330404,6
MR‐42‐7 ,3404167,1,,M0V075AA42‐5 ,3404191,57
MR‐53 ,3193182,1,,M0V075AA‐53 ,3330461,7
MR‐556 ,3194602,1,,M0V075AA‐99 ,3330495,5
MR‐61 ,3193208,3,,M0V075AB‐288 ,3330560,4
MR‐614 ,3194818,99,,M1C0‐03‐020‐,,
MR‐655 ,3195047,1,,141,50359306,2
MR‐69 ,3193216,1,,M15DA30 ,,1
MR‐934 ,3195476,5,,M150J40 ,50228071,1
MR‐944 ,3195518,1,,M150PB59 ,50155506,1
MR‐945 ,3195534,1,,M157J50 ,,1
MR‐985 ,3195658,4,,M265D45 ,50008432,1
MRV050 ,,1,,M27DA30 ,,23
MR10‐AS463A ,3334943,2,,M51DA35 ,50314970,3
MR10‐S123 ,3193299,3,,M53L74 ,,5
MR10‐375 ,3334869,1,,M53R48 ,50010354,14
MR10‐377A ,3334877,3,,M58D45 ,50005404,2
MR10‐461 ,3194495,1,,M58J50 ,50003896,60
MR10‐462A ,3194503,1,,M64DA35 ,50168160,38
MT2‐17 ,3041761,1,,M94J50 ,50004415,10
MT4‐156 ,3042199,1,,NR1095‐03 ,,1
MT4‐210 ,3042215,1,,NS11‐A24 ,3777752,3
MT4‐302 ,3042223,1,,NS11‐20 ,3443256,4
MT4‐40 ,,1,,NS11‐21 ,3443272,3
MT4‐88 ,3042140,4,,NS11‐25 ,3773074,1
MT61‐5 ,3042371,1,,NS11‐27 ,3443264,2
,"LC VOUGHT INGERSOLL RAND DRILL PARTS, PAGE",,,,28,
INGERSOLL RAND DRILL PARTS WITH OLD & NEW PARTS NUMBERS ,,,,,,
Old Part Number,New Part Number,Qty,,Old Part Number,New Part Number,Qty 
N00‐15 ,3042835,64,,OT118009 ,50031160,1
N00‐78 ,3042843,61,,OT118010 ,50031178,4
N00‐82 ,3042868,3,,OT118011 ,50031186,9
N13JR38 ,50016948,1,,OT119049 ,50031202,99
N15DA30 ,50060995,4,,OT119120 ,,1
N435‐202 ,,1,,OT119140 ,50031228,2
N51DA35 ,50315258,10,,OT151795 ,50096494,2
N58DA30 ,50058999,6,,OT152011 ,50086479,58
N58D45 ,50005412,1,,OT152410 ,50100197,1
OR126 ,50718931,8,,OT153503 ,50053198,8
OTA112561 ,50027564,10,,OT153504 ,50315365,10
OTA117583 ,50228980,1,,OT175056A ,50094341,3
OTBS5007 ,50376144,1,,OT175057A ,50034008,5
OTB112743 ,50229038,8,,OT175379A ,50034024,2
OTB114384 ,50229046,3,,OT175513A ,50315415,2
OTB117571 ,50229095,1,,OT176X5 ,50229400,8
OTB117594 ,50229103,2,,OT176139A ,,5
OTB117831 ,50229111,4,,OT176320AS ,50315456,18
OT104081 ,95666442,1,,OT176332A ,50315464,2
OT112294 ,50027499,1,,OT176338AS ,50372929,1
OT112363 ,50229202,14,,OT176366A ,50432863,4
OT112366 ,50027523,99,,OT176772A ,50443449,1
OT112403 ,50027549,2,,OT176813AS ,50099910,1
OT112743 ,50027614,5,,OT176814A ,50092360,4
OT114385 ,50027671,37,,OT176828A ,,5
OT115975 ,50029636,10,,OT176992AS ,,1
OT116830 ,50029834,7,,OT177X4 ,50041011,6
OT116831 ,50084763,15,,OT177X5 ,50041029,2
OT116978 ,50029685,2,,OT177127A ,50374057,8
OT117006 ,50095843,1,,OT177128AS ,50376060,8
OT117007 ,50100544,2,,OT177129AS ,50558444,2
OT117143 ,50029735,1,,OT25‐1001468 ,50634138,1
OT117246 ,50029743,8,,OT25‐1001695 ,,2
OT117247 ,50029750,13,,OT25‐1001696 ,,1
OT117260 ,50031053,3,,OT25‐1002282 ,50634088,1
OT117571 ,50029784,7,,OT25‐1004095 ,,1
OT117583 ,50031061,3,,OT25‐1004100 ,,2
OT117589 ,50053172,1,,OT25‐1004590 ,50638352,8
OT117594 ,50029826,3,,OT25‐2004588 ,50634096,1
OT117638 ,50031129,1,,OT25‐2005079 ,50637073,1
OT117833 ,50031152,3,,OT25‐2005080 ,50637081,1
,"LC VOUGHT INGERSOLL RAND DRILL PARTS, PAGE",,,,29,
INGERSOLL RAND DRILL PARTS WITH OLD & NEW PARTS NUMBERS ,,,,,,
Old Part Number,New Part Number,Qty,,Old Part Number,New Part Number,Qty 
OT30‐3001539 ,50385558,1,,OT608710A ,50036300,18
OT30‐3001563 ,50385566,2,,OT609379A ,50296268,3
OT30‐3026302 ,,1,,OT610199AA ,50091222,3
OT30‐3026329 ,50376029,1,,OT610709AY ,,1
OT30‐3026337 ,50397702,4,,OT610709FY ,50038785,1
OT30‐3026388 ,50376086,3,,OT610817AS ,50093491,7
OT30‐3026426 ,50376052,7,,OT610817FS ,,1
OT30‐3026442 ,50375088,1,,OT610952A ,50371111,2
OT30‐3026469 ,50397769,7,,OT610953A ,50315738,4
OT30‐3026477 ,50397710,1,,OT611562ASB ,,2
OT30‐3026493 ,50397728,4,,OT611810F ,,1
OT30‐3028399 ,50409432,13,,OT611811A ,50038827,2
OT30‐3032175 ,50409366,50,,OT611811F ,50038827,1
OT30‐3049663 ,,1,,OT612000FS ,,3
OT50420 ,50090174,6,,OT612258A ,,1
OT601070AA ,50229475,6,,OT613084A ,50038850,12
OT601517A ,50034123,99,,OT612127AS ,50315779,2
OT601953AA ,50034149,7,,OT613506AS ,50092550,1
OT602921AA ,,8,,OT612507AS ,50329994,4
OT602921F ,,1,,OT613514A ,,1
OT602989F ,50036094,12,,OT613515A ,,1
OT603048A ,50036128,3,,OT613515F ,50315787,2
OT603048F ,50036128,1,,OT613780A ,50315803,1
OT603542F ,50229566,1,,OT613825AS ,50038892,2
OT603892A ,,2,,OT614233AA ,50091230,3
OT603945A ,50100429,2,,OT614267AA ,50315829,2
OT604501ASA ,50100486,1,,OT614780A ,50634104,1
OT604607A ,50480193,4,,OT908358‐4 ,50085950,5
OT604638A ,50036201,5,,OT908359‐4 ,50089986,5
OT604638F ,50036201,4,,OT908481‐4 ,50100254,99
OT607087AA ,50097856,29,,OT908506‐4 ,50366285,8
OT607790AA ,50036250,10,,OT908511‐4 ,50101039,8
OT607790FA ,,10,,OT915003 ,50038942,12
OT608612A ,50085943,1,,OT915003‐4 ,,32
OT608612AS ,50085943,4,,OT915004‐4 ,50101021,16
OT608612FS ,50315720,2,,OT915007 ,50038959,16
OT608615A ,50036268,5,,OT915009‐4 ,50038967,2
OT608615F ,50036276,1,,OT920083‐4 ,50100247,11
OT608617A ,50036276,22,,OT920084‐4 ,,32
OT608618A ,50036284,42,,OT923193 ,,2
OT608619A ,50036292,21,,OT939057 ,50040922,2
,"LC VOUGHT INGERSOLL RAND DRILL PARTS, PAGE",,,,30,
INGERSOLL RAND DRILL PARTS WITH OLD & NEW PARTS NUMBERS ,,,,,,
Old Part Number,New Part Number,Qty,,Old Part Number,New Part Number,Qty 
OT943461‐4 ,,1,,PH675620 ,50475326,1
OT943462‐4 ,,1,,PR22H‐360 ,3140340,4
PB25‐146 ,3026515,61,,PR22H‐548 ,3140415,2
PB250‐546 ,3028214,1,,PS151‐25 ,,3
PDA20‐3336 ,3498863,12,,PS3‐67 ,3015286,99
PDA312AA‐58 ,3030475,6,,PS3‐83 ,3015393,4
PDG‐23837 ,,3,,PX2‐6 ,3120664,18
PE1299SP ,50177492,15,,PX2‐626 ,3120722,36
PE1366SP ,50230036,94,,P125‐317‐4 ,,99
PE1368SP ,50177542,12,,P15DA30 ,,1
PE1371SP ,50173293,99,,P225‐11 ,,5
PE1379SP ,50230051,2,,P225‐12 ,,1
PE14SP ,50230069,59,,P225‐153 ,3027455,1
PE1411SP ,50230077,99,,P225‐3 ,3027166,1
PE1417SP ,50230093,99,,P225‐540 ,3027547,1
PE1418SP ,50177617,12,,P226‐A115 ,3680667,1
PE1419SP ,50177625,3,,P25‐A267 ,3026986,1
PE1434SP ,50175751,1,,P25‐142 ,3026325,17
PE1435SP ,50175769,36,,P25‐148B ,3026549,3
PE1443SP ,50171149,10,,P25‐150 ,3026580,4
PE1467SP ,50175868,2,,P25‐151‐25 ,3026622,4
PE1484SP ,50175884,99,,P25‐151‐5 ,3026606,4
PE1493SP ,50230234,12,,P25‐152A ,3026630,1
PE1494SP ,50175892,41,,P25‐153A ,3026648,2
PE1496SP ,50175900,13,,P25‐166A ,3026671,3
PE20SP ,50023753,27,,P25‐183 ,3026721,1
PE2110SP ,,28,,P25‐227 ,3026952,12
PE2117SP ,50174861,12,,P25‐3A ,3026135,2
PE2124SP ,50174879,8,,P25‐35 ,,8
PE2135SP ,50174945,3,,P25‐4B ,3026150,6
PE2136SP ,50174952,10,,P25‐418 ,3027083,26
PE28DP ,95033742,20,,P25‐429 ,3027109,2
PE31LW ,,13,,P25‐61A ,3026267,4
PE37LW ,,3,,P250‐11 ,3027596,2
PE39SP ,50230564,6,,P250‐115 ,3027802,4
PE4WK ,50061738,11,,P250‐12 ,,1
PE443SP ,,99,,P250‐144 ,3027851,2
PE6WK ,50230671,10,,P250‐152 ,,1
PH656911 ,50558808,3,,P250‐268 ,3028081,3
PH656941 ,50475359,15,,P250‐283 ,,99
PH65941 ,57260402,4,,P250‐3 ,3027554,1
,"LC VOUGHT INGERSOLL RAND DRILL PARTS, PAGE",,,,31,
INGERSOLL RAND DRILL PARTS WITH OLD & NEW PARTS NUMBERS ,,,,,,
Old Part Number,New Part Number,Qty,,Old Part Number,New Part Number,Qty 
P250‐4 ,,1,,RC5‐281 ,3162302,4
P250‐41 ,,4,,RM15‐15 ,50184134,12
P250‐417 ,,22,,RM15‐16 ,50184142,1
P250‐53 ,,6,,RM15‐17 ,50184159,1
P250‐540 ,3028149,2,,RM15‐18 ,50184167,2
P250‐541 ,3028156,2,,RM15‐19 ,50184175,2
P250‐542 ,3028164,2,,RM15‐2A ,50185750,10
P250‐545 ,3028180,1,,RM15‐20 ,50184191,2
P250‐98 ,3027745,11,,RM15‐23 ,50184217,1
P251‐12 ,3028248,1,,RM15‐26 ,50184241,8
P251‐145‐10 ,3028438,1,,RM15‐28 ,50184266,3
P251‐145‐25 ,3028446,1,,RM20‐1A ,50207315,4
P251‐145‐3 ,3028412,1,,RM20‐36 ,50207306,1
P251‐145‐5 ,3028420,1,,RM20‐37 ,50207190,1
P35‐11 ,3028677,3,,RM20‐38 ,50207182,1
P35‐117 ,3028941,12,,RM20‐39 ,50207166,13
P35‐129 ,,1,,RM20‐40 ,50207174,20
P35‐143 ,,1,,RM20‐42 ,50207273,1
P35‐144 ,3028974,1,,RM20‐43 ,50207299,9
P35‐145‐15 ,3029014,21,,RM20‐44 ,50207158,13
P35‐145‐3 ,3028990,10,,RM20‐45A ,50211606,1
P35‐145‐5 ,3029006,20,,RM20‐46 ,50207117,4
P35‐146 ,3029030,3,,RM20‐47 ,50207141,1
P35‐151‐10 ,3029063,5,,RM20‐48 ,50208859,62
P35‐152 ,3029089,4,,RM20‐49 ,50207083,1
P35‐277 ,3029162,1,,RM20‐50 ,50207075,70
P35‐282 ,3029170,1,,RM20‐51 ,50207091,6
P35‐33 ,3028701,1,,RM20‐52 ,50207125,49
P35‐34 ,3028719,15,,RM20‐53 ,50207153,4
P35‐35 ,3028727,8,,RM20‐54 ,50207109,1
